context_length,method,num_samples,mean_nll,perplexity,mean_candidate_ratio,mean_topk_recall_vs_full,mean_decode_ms_per_token,mean_candidate_search_ms_per_token,mean_selected_attention_ms_per_token,mean_cache_update_ms_per_token,mean_prepack_ms,mean_prefix_ms_shared,mean_candidate_search_ops_proxy
4096,bit2_cuda_popc_g32_b4096,24,0.7750492480354675,2.170699027213794,0.9991465494697693,,570.0382591846088,8.919631989954118,148.68144182146838,2.426259530087312,0.0,785.7641478379568,3861482400.0
4096,bit2_reference_g32_b4096,24,0.7750492480354675,2.170699027213794,0.9991465494697693,,2114.0466439537704,1812.280229532412,152.60783367262533,15.447169231871763,78.23054865002632,785.7641478379568,839003040.0
4096,fier_reference_g32_b4096,24,0.7752762575474131,2.1711918524764373,0.9991465494697693,,900.9473218272129,606.4698669787418,148.7863422615143,8.662560799469551,47.79509827494621,785.7641478379568,1054719360.0
4096,fier_triton_g32_b4096,24,0.7740037398950411,2.168430729678816,0.9991465494697693,,573.7337195314467,11.026031958191501,145.7005295177611,2.4538078966240087,0.0,785.7641478379568,3069705600.0
4096,full_attention,24,0.7744328239829201,2.1693613684474538,1.0,1.0,293.07297089447576,28.125935978091245,135.860646814884,2.3507579850653806,0.0,785.7641478379568,0.0
4096,quest_p16_b4096,24,0.7733647167775265,2.167045494959465,0.9973922940951835,,854.9276390112936,567.0986038571573,148.79459271781766,2.4964374800523124,0.0,785.7641478379568,0.0
8192,bit2_cuda_popc_g32_b4096,24,2.1105304879699056,8.252618038205954,0.4997865072492198,,567.0832333465418,12.711702650655448,146.04540007033697,4.937918080637853,0.0,1374.812522282203,7718931360.0
8192,bit2_reference_g32_b4096,24,2.1105304879699056,8.252618038205954,0.4997865072492198,,2127.871513366699,1827.4830571762966,152.49278169249496,16.28762095545729,96.49914875626564,1374.812522282203,1676553120.0
8192,fier_reference_g32_b4096,24,2.0959315179487326,8.133013490739568,0.4997865072492198,,907.3221941168109,616.9821681576432,147.08071651713303,9.665284771472216,73.2547789812088,1374.812522282203,2108538240.0
8192,fier_triton_g32_b4096,24,2.095906996376319,8.132814058905517,0.4997865072492198,,572.0763456386825,18.787424011835054,146.7813321867337,5.333954002708197,0.0,1374.812522282203,6136790400.0
8192,full_attention,24,2.0945330011639576,8.121647284629528,1.0,1.0,304.65869201968115,28.44292795290433,139.77448288413385,4.328343085944653,0.0,1374.812522282203,0.0
8192,quest_p16_b4096,24,2.3106067330542523,10.080538996153225,0.4993450171131608,,882.4095555270711,589.559757331231,150.84527818734446,4.921207980563243,0.0,1374.812522282203,0.0
16384,bit2_cuda_popc_g32_b4096,24,1.4353328065092985,4.201042910586097,0.24994661053085762,,571.9220147778591,19.3026320351831,145.4881585960587,8.478474648048481,0.0,3120.6742922465005,15433829280.0
16384,bit2_reference_g32_b4096,24,1.4353328065092985,4.201042910586097,0.24994661053085762,,2161.0596172201135,1860.8969692943112,152.7452058388541,19.86775267869234,105.01573855678241,3120.6742922465005,3351653280.0
16384,fier_reference_g32_b4096,24,1.4157186813281442,4.119445971277131,0.24994661053085762,,944.6737317678829,652.1095636014458,148.65388458532593,13.244404147068659,56.776257852713265,3120.6742922465005,4216176000.0
16384,fier_triton_g32_b4096,24,1.4160810996448465,4.120939204522983,0.24994661053085762,,585.3847198498746,33.47847758150116,146.05921603739262,8.409526664763689,0.0,3120.6742922465005,12270960000.0
16384,full_attention,24,1.4282611617648702,4.171439423605783,1.0,1.0,302.8531380308171,27.159575911132077,152.78442908078432,7.510756452878316,0.0,3120.6742922465005,0.0
16384,quest_p16_b4096,24,1.4830397117766552,4.406319285293105,0.24982836884508486,,890.8881763927639,598.3612921167709,150.66163298736015,8.643024135380983,0.0,3120.6742922465005,0.0
32768,bit2_cuda_popc_g32_b4096,24,3.482803695689654,32.55085695627223,0.12498665059649033,,618.5026865762969,31.374510741472477,154.74808853802583,14.932274197538694,0.0,7751.533458630244,30863625120.0
32768,bit2_reference_g32_b4096,24,3.482803695689654,32.55085695627223,0.12498665059649033,,2190.484880004078,1862.120903753753,162.00418618383506,28.36261720707019,224.73598023255667,7751.533458630244,6701853600.0
32768,fier_reference_g32_b4096,24,3.539777876666752,34.45926413409476,0.12498665059649033,,950.242693691204,635.8597045357552,154.50716194200018,19.565395700434845,133.7082808216413,7751.533458630244,8431451520.0
32768,fier_triton_g32_b4096,24,3.540044744425662,34.468461427863915,0.12498665059649033,,650.2110091969371,62.08680295736607,156.1847071008136,14.763824796924988,0.0,7751.533458630244,24539299200.0
32768,full_attention,24,3.5375337179571034,34.38201878419142,1.0,1.0,363.9498272289832,4.338947982275083,258.9459375347942,14.648765325546265,0.0,7751.533458630244,0.0
32768,quest_p16_b4096,24,3.5492419824634758,34.7869383816174,0.12493440871282702,,910.953127934287,597.700757517489,156.69131710659713,14.791947013388077,0.0,7751.533458630244,0.0
