method,budget,dataset,num_success,total_generation_seconds,avg_wall_decode_ms_per_token,avg_search_ms_per_token,avg_score_ms_per_token,avg_topk_ms_per_token,avg_gather_ms_per_token,avg_attention_ms_per_token,peak_gpu_memory_bytes,failed_samples
2mean,1024,gov_report,19,845.051324903965,110.07379806060547,3.1453115618856735,1.3350036020974254,1.810307959788248,7.145148158125449,4.553716447691538,21567982080,0
2mean,2048,gov_report,19,866.0879954099655,110.21571421032405,3.1730921462098984,1.3337772060729272,1.8393149401369708,10.569436235626343,4.069116362700042,21567982080,0
2mean,4096,gov_report,19,957.1626888513565,117.52202016080166,3.1196709396419497,1.323693734293091,1.7959772053488583,17.552769914123346,5.560548425464488,21577947136,0
2mean,512,gov_report,19,746.3742871321738,110.63336050751315,3.1274907830185392,1.3337292193097874,1.7937615637087518,6.382925515541496,4.537826574889458,21567982080,0
2mean,1024,hotpotqa,19,58.15314246714115,111.45237911688655,3.677122689769276,1.61005846763912,2.0670642221301567,7.313881178419187,5.1204945294599025,20836933632,0
2mean,2048,hotpotqa,19,60.554142743349075,111.33943075604554,3.550935878421542,1.578688680185963,1.9722471982355791,10.689593151765779,4.61609628636084,20836933632,0
2mean,4096,hotpotqa,19,66.09307601302862,118.65171978225638,3.4659424792595304,1.5609992916446602,1.9049431876148704,17.382310178931476,6.0373834948128975,20874201088,0
2mean,512,hotpotqa,19,61.907196410000324,111.12471651735208,3.508222353840737,1.5743583450706577,1.9338640087700791,6.44381108783643,5.082364908493075,20836933632,0
2mean,1024,multifieldqa_en,19,75.04826941341162,109.06604338213583,2.8015631490581616,1.1192392506335191,1.6823238984246423,7.0682059075719526,4.027895170608993,19994187776,0
2mean,2048,multifieldqa_en,19,73.16537218540907,109.4167305376787,2.789816524644343,1.1001572984328027,1.6896592262115406,10.40027538962499,3.539073737626894,19994187776,0
2mean,4096,multifieldqa_en,19,84.98991321772337,117.09593310976499,2.7804033462955133,1.0991795325991383,1.6812238136963755,17.13632719323316,4.788792249484808,20061906944,0
2mean,512,multifieldqa_en,19,71.4805480800569,109.7031380061847,2.7343314977308775,1.1072406209838976,1.6270908767469798,6.314659508198083,4.0217095412036175,19994187776,0
2mean,1024,narrativeqa,19,201.01996532827616,114.34757477492573,4.637702466764825,2.480673572088523,2.1570288946763028,7.600834776745719,7.363194761229426,25590669312,0
2mean,2048,narrativeqa,19,220.57248939201236,114.83035454054583,4.664216927691058,2.4807680638517495,2.1834488638393084,11.067535149343328,6.913073714824927,25590669312,0
2mean,4096,narrativeqa,19,230.13238792866468,122.35782287739742,4.628200874391424,2.466558081687864,2.1616427927035593,18.126080874038,8.39885010840339,25590669312,0
2mean,512,narrativeqa,19,201.35858856141567,114.86835848510793,4.609202024086933,2.477980726410237,2.1312212976766953,6.8009019136038065,7.382054590735768,25590743040,0
2mean,1024,qasper,19,57.14741935580969,107.88098253051707,2.2509066209266244,0.9022111474484782,1.3486954734781467,7.000446564844726,3.5896868018608394,21218746368,0
2mean,2048,qasper,19,65.48452254757285,108.73865841237887,2.3389907186319747,0.907175632241256,1.431815086390719,10.407747076813521,3.11960926856349,21218746368,0
2mean,4096,qasper,19,69.71724333241582,114.9973217409808,2.193220006858116,0.8824096277588686,1.3108103790992476,16.654358239844836,4.452986907828352,21246035968,0
2mean,512,qasper,19,56.876727014780045,109.06704197899133,2.265280840796956,0.9132617976317479,1.3520190431652075,6.2721232475688735,3.5939829997216717,21218746368,0
2mean,1024,triviaqa,19,66.37653402984142,109.17193097013391,3.034078428236841,1.3182950560279239,1.7157833722089173,7.125135207193364,4.530793592719802,22148397056,0
2mean,2048,triviaqa,19,66.95518753677607,110.12366371180273,3.0487997942622505,1.3169808983649618,1.7318188958972889,10.577847170036923,4.057533439310071,22148397056,0
2mean,4096,triviaqa,19,70.97301645204425,116.73193495402015,2.990420741761275,1.3076747407750717,1.6827460009862032,17.20626680300522,5.470926076296325,22148397056,0
2mean,512,triviaqa,19,66.83618594706059,109.9279374129286,3.0089972197035277,1.3196483195489763,1.6893489001545516,6.353520595290894,4.522253786899934,22148397056,0
fier,1024,gov_report,19,907.908290039748,114.97228258037568,7.663257342802612,4.784532666013978,2.8787246767886336,7.12475344540137,4.588229975113909,21483825152,0
fier,2048,gov_report,19,906.2357999458909,115.56794083094428,7.697825099664964,4.79134188296096,2.9064832167040042,10.538186161895982,4.069447191369631,21483825152,0
fier,4096,gov_report,19,919.8821235969663,119.01467548903288,5.53889103894245,3.5477441127725386,1.9911469261699104,17.51598626149946,5.562786373685192,21493658112,0
fier,512,gov_report,19,888.6445761807263,116.2158901259752,7.764644566008527,4.864199698762947,2.9004448672455814,6.435475234818024,4.574479668078031,21483825152,0
fier,1024,hotpotqa,19,64.26202526688576,115.84610866970922,8.098492455678958,5.356523417998432,2.7419690376805277,7.222053972219951,5.1296816013606366,20760518656,0
fier,2048,hotpotqa,19,64.52913768589497,116.52405681129414,8.134769107458148,5.378053188352569,2.7567159191055812,10.63729280266878,4.608969594245744,20760518656,0
fier,4096,hotpotqa,19,67.00006153061986,120.53681338173256,6.503158125331986,4.2882320844004616,2.214926040931523,17.339994818715606,6.045487078478592,20797786624,0
fier,512,hotpotqa,19,64.67032482847571,116.39199789670671,8.06009190256928,5.312793929068568,2.7472979735007117,6.478990411197995,5.097796060890368,20760518656,0
fier,1024,multifieldqa_en,19,82.7890048250556,113.3969151195716,6.910810620350252,4.136205931947082,2.774604688403169,7.025966750217155,4.05534821748788,19930748928,0
fier,2048,multifieldqa_en,19,78.4067377820611,115.13715803944163,7.208618334796171,4.363494324441261,2.8451240103549096,10.362886307818261,3.542859252696809,19930748928,0
fier,4096,multifieldqa_en,19,85.92230387404561,117.85526391280794,5.441204341562116,3.1905985863459794,2.250605755216137,16.20646925606806,4.787385986607477,19998564352,0
fier,512,multifieldqa_en,19,83.84527657553554,115.12346141042764,7.083773193793436,4.26361436834877,2.820158825444668,6.363895160469103,4.047833330177721,19930748928,0
fier,1024,narrativeqa,19,219.01640752702951,119.9026069302386,10.454474303061316,7.7637048205651,2.6907694824962163,7.560216196211277,7.4134527800863435,25445627904,0
fier,2048,narrativeqa,19,229.3229199461639,119.78987696009307,10.354272678366717,7.649240596531307,2.7050320818354106,10.990714097689862,6.90984787523661,25445627904,0
fier,4096,narrativeqa,19,233.50242779031396,125.05751260086674,8.89758504419367,6.534099196042402,2.363485848151268,18.034199834963704,8.408264774898692,25445627904,0
fier,512,narrativeqa,19,217.16007322445512,120.12553997400353,10.379864281431116,7.677444670215036,2.7024196112160808,6.80358165500515,7.401174961901093,25445627904,0
fier,1024,qasper,19,62.20794699341059,113.51256375382704,6.6871445324736705,3.698621108915675,2.9885234235579956,6.9773083263902915,3.632733137096403,21137184768,0
fier,2048,qasper,19,68.5237426571548,114.31735226292544,6.787881286821888,3.7894101027794846,2.9984711840424025,10.382052833111574,3.110505618364354,21137184768,0
fier,4096,qasper,19,71.31935615092516,117.73928306144221,4.276989821037674,2.5288876673154275,1.7481021537222465,16.67626329095332,4.462644637202261,21163995136,0
fier,512,qasper,19,63.757071651518345,114.72529513566872,6.7569160955113805,3.764091973121153,2.9928241223902283,6.313242706380851,3.609514840306795,21137184768,0
fier,1024,triviaqa,19,70.01729890331626,115.1600310909807,7.670498783078266,4.778352053462234,2.8921467296160315,7.135698546925069,4.580849765530346,22054438912,0
fier,2048,triviaqa,19,70.08905397355556,115.27804929861112,7.627037997063446,4.70928347594791,2.917754521115536,10.540396365477998,4.057209124659972,22054438912,0
fier,4096,triviaqa,19,72.16648832708597,118.69488211691771,5.555519381862771,3.563182689323041,1.99233669253973,17.188907043561095,5.478415079500624,22054438912,0
