context_length,method,num_samples,mean_nll,perplexity,mean_candidate_ratio,mean_topk_recall_vs_full,mean_decode_ms_per_token,mean_candidate_search_ms_per_token,mean_selected_attention_ms_per_token,mean_cache_update_ms_per_token,mean_prepack_ms,mean_prefix_ms_shared,mean_candidate_search_ops_proxy
4096,bit2_cuda_popc_maxhalf_g32_b4096,160,1.5900904893517747,4.904192685465757,0.9962351104329346,,560.5458040954545,8.856127185073273,147.13586946215946,2.110228920355439,0.0,739.3464483320713,3872783520.0
4096,bit2_cuda_popc_median_g32_b4096,160,1.5908967335592592,4.908148256774759,0.9962351104329346,,620.7819471834227,72.42968202178308,145.62050435522104,2.124473126605153,0.0,739.3464483320713,3872783520.0
8192,bit2_cuda_popc_maxhalf_g32_b4096,160,1.553002177614053,4.725636106572252,0.4990563732713472,,566.3728102808818,12.708246385827078,146.76673896037974,3.9307279512286186,0.0,1380.4263316094875,7730232480.0
8192,bit2_cuda_popc_median_g32_b4096,160,1.5810578609461117,4.8600943968605606,0.4990563732713472,,672.0605979906395,116.85534199326648,146.8898392864503,4.069896577857435,0.0,1380.4263316094875,7730232480.0
16384,bit2_cuda_popc_maxhalf_g32_b4096,160,2.2253538503632173,9.256757731541075,0.24976379147868788,,580.5359141202644,19.26000479830982,148.9324691293761,7.456554286181927,0.0,3113.941264897585,15445130400.0
16384,bit2_cuda_popc_median_g32_b4096,160,2.2760619852972015,9.738255407101645,0.24976379147868788,,765.5885346233845,204.99263362299388,149.33446576772258,7.7281835954636335,0.0,3113.941264897585,15445130400.0
32768,bit2_cuda_popc_maxhalf_g32_b4096,128,2.6726598908003325,14.478429060865167,0.1249409100582777,,617.0962502365,31.476041455234736,154.61828880762914,14.568253012839705,0.0,7794.0359292551875,30874926240.0
32768,bit2_cuda_popc_median_g32_b4096,128,3.00401850315302,20.166413108411426,0.1249409100582777,,973.85564391152,385.3810891915091,155.69382304459577,14.595778891816735,0.0,7794.0359292551875,30874926240.0
65536,bit2_cuda_popc_maxhalf_g32_b4096,64,3.191226840591753,24.318243757984487,0.0624852227830377,,719.6658347384073,60.26896017094259,169.2961124117719,28.974450542591512,0.0,22149.154145270586,61734517920.0
65536,bit2_cuda_popc_median_g32_b4096,64,4.0076153153986525,55.0155193482752,0.0624852227830377,,1403.5298196831718,743.5750474679007,170.48737487616017,28.987468220293522,0.0,22149.154145270586,61734517920.0
